vendor_name,invoice_date,service_address,utility_type,usage_amount,usage_unit,billing_period_start,billing_period_end,currency,total_amount,meter_id,read_type,usage_source,document_type,language,extraction_status,validation_flags,source_file
Central Hudson Gas & Electric Corporation,,"284 South Avenue, Poughkeepsie, NY 12601-4839",electricity,458,kWh,2021-05-25,2021-06-22,USD,218.10,00000000,estimated,stated_total,consumption_invoice,en,review,quote_unverified_service_address,centralhudson-us-electric-en.pdf
EDF,2023-02-14,,electricity,11897,kWh,2023-01-12,2023-02-11,EUR,228262,,unknown,stated_total,other,fr,review,vision_mode_quotes_unverifiable,edf-fr-electricity-fr.pdf
"IBERDROLA CLIENTES, S.A.U.",2018-06-13,"Trav SAN MATEO, 8 esc. EXT, 2º Dch, 28004 MADRID",electricity,350,kWh,2018-05-08,2018-06-10,EUR,8095,0043073635,actual,summed_components,consumption_invoice,es,review,quote_unverified_usage,exodo-es-electricity-es.pdf
MidAmerican Energy Company,2025-04-04,"Sioux City, IA 51106",electricity,389,kWh,2025-03-06,2025-04-04,USD,106.82,P-------,actual,stated_total,consumption_invoice,en,review,quote_unverified_invoice_date;quote_unverified_service_address,midamerican-us-electric-en.pdf
MidAmerican Energy Company,2025-04-04,"Sioux City, IA 51106",gas,61,therms,2025-03-06,2025-04-04,USD,106.82,A-------8,actual,stated_total,consumption_invoice,en,review,quote_unverified_invoice_date;quote_unverified_service_address,midamerican-us-electric-en.pdf
"San Francisco Water, Power and Sewer (SFPUC)",2017-01-02,525 Golden Gate Ave,sewer,5.76,units,2016-12-02,2017-01-02,USD,247.25,,computed,stated_total,consumption_invoice,en,review,ambiguous_unit,sfpuc-us-water-en.pdf
"San Francisco Water, Power and Sewer (SFPUC)",2017-01-02,525 Golden Gate Ave,water,6.40,units,2016-12-02,2017-01-02,USD,247.25,1234567890,actual,stated_total,consumption_invoice,en,review,ambiguous_unit,sfpuc-us-water-en.pdf
SWM Infrastruktur GmbH & Co. KG,,"Mustermannstraße 1, 80992 München",electricity,859,kWh,2022-06-01,2023-05-31,EUR,46003,T12345,mixed,stated_total,consumption_invoice,de,review,,swm-de-electricity-de.pdf
Vialis S.A.E.M.,2019-01-08,"SA ENTREPRISE, 10 RUE DES BONNES GENS, COLMAR",electricity,48469,kWh,2018-12-01,2019-01-01,EUR,701513,123456789,actual,stated_total,consumption_invoice,fr,review,quote_unverified_service_address,vialis-fr-electricity-fr.pdf
We Energies,2026-02-03,"123 MAIN ST, NEENAH WI 54956-1802",electricity,669,kWh,2026-01-05,2026-02-02,USD,246.40,NZT0123456,actual,stated_total,consumption_invoice,en,ok,,weenergies-us-electric-gas-en.pdf
We Energies,2026-02-03,"123 MAIN ST, NEENAH WI 54956-1802",gas,83.9,therms,2026-01-05,2026-02-02,USD,246.40,0WG0123456,actual,stated_total,consumption_invoice,en,ok,,weenergies-us-electric-gas-en.pdf
